job,company,city,salary,welfare,exp,edu,job_num,job_url,company_url
Java中级开发工程师,北京筑业志远软件开发有限公司,北京-海淀区,1.2-1.8万/月,五险一金 全勤奖 节日福利 交通补贴 餐饮补贴 绩效奖金 专业培训 加班补贴 做五休二,3-4年经验,本科,招2人,https://jobs.51job.com/beijing-hdq/123522190.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5473698.html
Java开发工程师,深圳易宝软件有限公司,深圳-南山区,1.5-2万/月,五险一金 补充医疗保险 免费班车 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,3-4年经验,大专,招若干人,https://jobs.51job.com/shenzhen-nsq/131875507.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5354293.html
Java开发工程师,西安未来国际信息股份有限公司,北京-朝阳区,1-1.5万/月,五险一金 交通补贴 餐饮补贴 通讯补贴 股票期权,3-4年经验,本科,招1人,https://jobs.51job.com/beijing-cyq/131875456.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co124783.html
Java开发工程师,深圳前海零点信息技术有限公司,佛山-顺德区,1-1.1万/月,,2年经验,本科,招5人,https://jobs.51job.com/foshan-sdq/131875174.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/coUjIGZwBnUWoFZAJkBWU.html
Java高级开发工程师,上海渔夫卡卡信息技术有限公司,上海-徐汇区,1.5-3万/月,五险一金 年终奖金 绩效奖金 定期体检 专业培训 股票期权,3-4年经验,大专,招9人,https://jobs.51job.com/shanghai-xhq/131875199.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co6049865.html
Java开发（IOT平台）,久瓴（上海）智能科技有限公司常州分公司,上海-徐汇区,1.5-2万/月,五险一金 餐饮补贴 年终奖金 专业培训,3-4年经验,本科,招1人,https://jobs.51job.com/shanghai-xhq/131875156.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5407993.html
Java开发工程师,上海钢之家信息科技有限公司,马鞍山,6-8千/月,五险一金 绩效奖金 员工旅游 餐饮补贴 年终奖金 周末双休,无需经验,本科,招2人,https://jobs.51job.com/maanshan/131872141.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co608214.html
Java开发工程师(中级),广州尚捷智慧云网络科技有限公司,广州-番禺区,0.8-1万/月,,2年经验,大专,招4人,https://jobs.51job.com/guangzhou-pyq/129755719.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co6388958.html
Java开发工程师,上海厚萌文化传媒有限公司,上海-浦东新区,1-1.5万/月,,3-4年经验,本科,招5人,https://jobs.51job.com/shanghai-pdxq/129955818.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co6311745.html
JAVA开发主管（体检）,北京天健源达科技股份有限公司,武汉,0.8-1.5万/月,五险一金 员工旅游 餐饮补贴 通讯补贴,5-7年经验,本科,招5人,https://jobs.51job.com/wuhan/126877843.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2742318.html
Java 开发,汉堂软件工程（上海）有限公司,杭州-余杭区,1.2-2万/月,五险一金 补充医疗保险 免费班车 定期体检 做五休二 带薪年假 绩效奖金 年终奖金,3-4年经验,大专,招3人,https://jobs.51job.com/hangzhou-yhq/131875040.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3501848.html
Java高级开发工程师,慢钱科技控股集团有限公司,深圳,2.5-3万/月,五险一金 交通补贴 餐饮补贴 股票期权 节日福利 每日下午茶,3-4年经验,本科,招1人,https://jobs.51job.com/shenzhen/130446377.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3480225.html
java开发工程师（15k-21k）,大都会集团,深圳-南山区,1.6-2.1万/月,做五休二 带薪年假 五险一金 绩效奖金 全勤奖 免费班车 专业培训 节日福利 周末双休 每年多次调薪,3-4年经验,大专,招2人,https://jobs.51job.com/shenzhen-nsq/128584125.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5909815.html
Java开发工程师,广州劲源科技发展股份有限公司,广州,0.7-1.5万/月,五险一金 定期体检 绩效奖金 年终奖金 周末双休,1年经验,本科,招若干人,https://jobs.51job.com/guangzhou/118067420.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co338965.html
Java开发工程师,颐家（广东）医疗养老有限公司,广州-越秀区,1-1.5万/月,周末双休 五险一金 带薪年假 节日福利 专业培训 员工旅游,2年经验,大专,招1人,https://jobs.51job.com/guangzhou-yxq/131711523.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5133936.html
Java工程师,深圳市大浩电子商务有限公司,深圳-龙岗区,1.2-2万/月,五险一金 绩效奖金 年终奖金 股票期权 专业培训 员工旅游 大小周 通讯补贴 餐饮补贴 交通补贴,3-4年经验,本科,招1人,https://jobs.51job.com/shenzhen-lgq/117894595.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co4932657.html
Java软件工程师,珠海智通信息技术有限公司,珠海,0.6-1.2万/月,五险一金 年终奖金 股票期权 节日福利 带薪年假 周末双休 绩效奖金 员工旅游,2年经验,大专,招1人,https://jobs.51job.com/zhuhai/87383541.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2958119.html
Java开发工程师,北京中瑞惠银国际保险经纪股份有限公司,北京-朝阳区,0.8-1万/月,周末双休 五险一金 住房补贴,2年经验,本科,招1人,https://jobs.51job.com/beijing-cyq/131874617.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5868695.html
Java开发经理,深圳市易流科技股份有限公司,深圳,2.5-3.5万/月,五险一金 带薪年假 餐饮补贴 节日福利,8-9年经验,大专,招1人,https://jobs.51job.com/shenzhen/130461454.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3320550.html
java游戏后端开发工程师,厦门大大猫网络科技有限公司,厦门,0.8-1.6万/月,五险一金 全勤奖 节日福利 绩效奖金 员工旅游 年终奖金,3-4年经验,大专,招2人,https://jobs.51job.com/xiamen/131874444.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co4653792.html
Java高级开发工程师,峙晟能源科技（上海）有限公司,上海-长宁区,1.8-3万/月,弹性工作 定期体检 年终奖金 周末双休 节日福利 五险一金 补充医疗保险 带薪年假,5-7年经验,本科,招若干人,https://jobs.51job.com/shanghai-cnq/131872742.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co4503989.html
Java高级开发工程师,上海凯融信息科技有限公司,上海-普陀区,1.3-2万/月,五险一金 员工旅游 年终奖金 定期体检,3-4年经验,本科,招3人,https://jobs.51job.com/shanghai-ptq/87343431.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2082998.html
软件开发工程师（Java）,上海赋拓物联网技术有限公司,上海-宝山区,1.2-2万/月,专业培训 五险一金 带薪年假 定期体检 项目奖励 员工旅游 团建活动 晋升,2年经验,本科,招1人,https://jobs.51job.com/shanghai-bsq/130842988.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5020488.html
Java,杭州链清科技有限公司,杭州-拱墅区,1.2-2万/月,,3-4年经验,大专,招2人,https://jobs.51job.com/hangzhou-gsq/129221792.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co6349964.html
中级JAVA开发工程师,上海睿泰企业管理集团有限公司,无锡,0.8-1.2万/月,定期体检 节日礼品 周末双休 五险一金 绩效奖金,2年经验,大专,招1人,https://jobs.51job.com/wuxi/104800222.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2737450.html
Java开发工程师+包吃3餐,深圳市德科信息技术有限公司,广州-天河区,0.9-1.3万/月,团建活动 员工旅游 专业培训 六险一金 周末双休 年终奖金 包三餐,2年经验,本科,招3人,https://jobs.51job.com/guangzhou-thq/131874171.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3133436.html
Java开发工程师,成都六玥海棠网络科技有限公司,成都-高新区,1-1.5万/月,五险一金 绩效奖金 年终奖金 通讯补贴 弹性工作 员工旅游 定期体检 专业培训,2年经验,大专,招2人,https://jobs.51job.com/chengdu-gxq/130802966.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/coA2MHZwVgADsAYABkBmo.html
Java高级开发工程师,深圳市达士科技股份有限公司,深圳-南山区,1-2万/月,五险一金,无需经验,本科,招2人,https://jobs.51job.com/shenzhen-nsq/128182379.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2053677.html
Java开发工程师,远孚物流集团有限公司,上海,1.4-2.4万/月,餐饮补贴 带薪年假 五险一金 专业培训 节日福利,3-4年经验,本科,招1人,https://jobs.51job.com/shanghai/130645610.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3850114.html
Java开发工程师,上海第一医药股份有限公司,上海,12-15万/年,五险一金 绩效奖金 年终奖金 定期体检 工作餐 通讯补贴 专业培训,3-4年经验,本科,招1人,https://jobs.51job.com/shanghai/120441824.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3112500.html
中高级java开发工程师,深华建设（深圳）股份有限公司,深圳-南山区,1.5-2.5万/月,五险一金 补充医疗保险 员工旅游 年终奖金 绩效奖金 专业培训 通讯补贴 定期体检,3-4年经验,本科,招2人,https://jobs.51job.com/shenzhen-nsq/127749214.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3990421.html
JAVA开发工程师,广东百德朗科技有限公司,广州-黄埔区,0.7-1万/月,年终奖金 通讯补贴 弹性工作 节日福利 五险 员工旅游 绩效奖金 股票期权 交通补贴 专业培训,1年经验,大专,招1人,https://jobs.51job.com/guangzhou-hpq/129710008.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co4358929.html
L 对日java开发pg,大连必捷必信息技术有限公司,大连,6-8千/月,五险一金 交通补贴 定期体检 弹性工作 年终奖金 餐饮补贴,3-4年经验,大专,招若干人,https://jobs.51job.com/dalian/131873549.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2130968.html
Java开发工程师,广州润微科技有限责任公司,广州,0.8-1万/月,五险一金 绩效奖金 带薪年假 包二餐 餐饮补贴 专业培训 定期体检,2年经验,大专,招1人,https://jobs.51job.com/guangzhou/131873381.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2302804.html
Java开发工程师,上海允弈信息科技有限公司,上海-黄浦区,1-2万/月,五险一金,1年经验,本科,招10人,https://jobs.51job.com/shanghai-hpq/124269838.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3733658.html
中级JAVA开发工程师-西安,上海易教科技股份有限公司,西安-雁塔区,1-1.5万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金,3-4年经验,本科,招若干人,https://jobs.51job.com/xian-ytq/128594745.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2346401.html
Java高级开发工程师,广州八百方信息技术有限公司,广州,2-3万/月,周末双休 带薪年假 年度体检 员工旅游 绩效奖金 五险一金,5-7年经验,本科,招1人,https://jobs.51job.com/guangzhou/115763645.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3142244.html
Java软件工程师,学府信息技术咨询（广州）有限公司,广州,1-1.5万/月,五险一金 员工旅游 补充医疗保险 专业培训 年终奖金 带薪年假,3-4年经验,大专,招5人,https://jobs.51job.com/guangzhou/66609378.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2238477.html
