job_name,company_name,city,salary,attribute_text,job_welfare,job_url,cp_url,experience,education,need_people
Java高级开发工程师-飞书费控/飞书合同/飞书审批,字节跳动,广州,2-3万/月,广州|5-7年经验|本科|招20人,六险一金 晋升空间大 带薪休假 免费三餐 弹性工作 租房补贴,https://jobs.51job.com/guangzhou/131837254.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2758227.html,5-7年经验,本科,招20人
Java中级开发工程师,TCL科技集团股份有限公司,异地招聘,1.3-1.8万/月,异地招聘|3-4年经验|本科|招1人,年底双薪 绩效奖金 五险一金 通讯补贴 交通补贴,https://jobs.51job.com/huizhou/131843121.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co151030.html,3-4年经验,本科,招1人
Java高级开发工程师-L,天地华宇集团,上海,1.5-2万/月,上海-青浦区|3-4年经验|大专|招1人,带薪年假 绩效奖金 节日福利 提供食宿 免费班车 做五休二 包吃 包三餐 包住宿,https://jobs.51job.com/shanghai-qpq/102745398.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co4837168.html,3-4年经验,大专,招1人
JAVA开发工程师,银联商务股份有限公司江西分公司,南昌,0.6-1万/月,南昌|3-4年经验|本科|招2人,五险一金 补充医疗保险 餐饮补贴 绩效奖金 年终奖金 企业年金,https://jobs.51job.com/nanchang/117755304.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2172585.html,3-4年经验,本科,招2人
Java工程师,吉林爱信诺航天信息有限公司,长春,0.6-1.2万/月,长春-经济技术开发区|2年经验|大专|招4人,五险一金 全勤奖 交通补贴 带薪年假 免费午餐 补充医疗保险 节日福利 周末双休 生日劵 国企单位,https://jobs.51job.com/changchun-jjjs/129019336.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3818527.html,2年经验,大专,招4人
Java高级开发工程师,浙江航天信息有限公司,杭州,1-2万/月,杭州|3-4年经验|本科|招2人,带薪年假 五险一金 绩效奖金 节日福利 加班补贴 通讯补贴 高温补贴 专业培训,https://jobs.51job.com/hangzhou/125666592.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2513433.html,3-4年经验,硕士,招2人
Java开发工程师,武汉佰钧成技术有限责任公司,北京,1.2-1.8万/月,北京|2年经验|大专|招5人,五险一金 补充医疗保险 员工旅游 定期体检 带薪年假,https://jobs.51job.com/beijing/131378749.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2471571.html,2年经验,大专,招5人
Java工程师,合肥微实信息工程有限公司,合肥,6-8千/月,合肥-经开区|1年经验|本科|招4人,五险一金 专业培训 补充公积金 绩效奖金 年终奖金 弹性工作,https://jobs.51job.com/hefei-jkq/130742214.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5788940.html,1年经验,本科,招4人
Java开发工程师,吉林省云图信息科技有限公司,齐齐哈尔,3-6千/月,齐齐哈尔|1年经验|大专|招5人,,https://jobs.51job.com/qiqihaer/131845727.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co6196221.html,1年经验,大专,招5人
Java中级开发工程师,斯艾博（上海）商务咨询有限公司,上海,1.7-2.5万/月,上海-杨浦区|3-4年经验|本科|招3人,,https://jobs.51job.com/shanghai-ypq/128275185.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5867498.html,3-4年经验,本科,招3人
开发工程师（JAVA后端）,林同棪（重庆）国际工程技术有限公司,重庆,6-8千/月,重庆-渝北区|1年经验|本科|招1人,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,https://jobs.51job.com/chongqing-ybq/131845539.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2839310.html,1年经验,本科,招1人
软件工程师（Java）,英腾物流科技（苏州）有限公司,苏州,1.2-2万/月,苏州-吴中区|3-4年经验|本科|招1人,五险一金 绩效奖金 补充公积金 通讯补贴 专业培训 出国机会,https://jobs.51job.com/suzhou-wzq/131565492.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5596102.html,3-4年经验,本科,招1人
Java高级开发工程师,广州康塔科技有限公司,广州,2-2.5万/月,广州-天河区|3-4年经验|大专|招1人,五险一金 员工旅游 绩效奖金 年终奖金 带薪年假 节日福利 周末双休,https://jobs.51job.com/guangzhou-thq/115960472.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co4956585.html,3-4年经验,大专,招1人
Java主管（成都）,广州飞歌汽车音响有限公司,成都,1-2万/月,成都-双流区|3-4年经验|大专|招1人,五险一金 年终奖金,https://jobs.51job.com/chengdu-slq/130777074.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/coAmJQMANmVmFSNgVhAWI.html,3-4年经验,大专,招1人
Java开发工程师,上海向心云网络科技有限公司,上海,1.1-2万/月,上海-浦东新区|3-4年经验|本科|招1人,五险一金 绩效奖金 弹性工作 节日福利 年底双薪,https://jobs.51job.com/shanghai-pdxq/131319671.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3396560.html,3-4年经验,本科,招1人
高级系统开发员-Java/BI,德国西克传感器,广州,23-30万/年,广州-天河区|5-7年经验|本科|招1人,五险一金 补充医疗保险 员工旅游 弹性工作 定期体检 绩效奖金 带薪假期 假日福利 专业培训 餐饮补贴,https://jobs.51job.com/guangzhou-thq/131845323.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co177751.html,5-7年经验,本科,招1人
Java中级开发工程师,上海意臣信息科技有限公司,上海,1-1.5万/月,上海-徐汇区|2年经验|大专|招若干人,五险一金 交通补贴 绩效奖金 年终奖金 餐饮补贴 员工旅游 专业培训 出国机会 周末双休 带薪年假,https://jobs.51job.com/shanghai-xhq/124349360.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3582042.html,2年经验,大专,招若干人
Java高级开发工程师,国药集团上海医疗器械有限公司,上海,1-1.5万/月,上海-宝山区|8-9年经验|本科|招1人,五险一金 餐饮补贴 年终奖金 定期体检 节日福利 高温补贴 周末双休 做五休二 带薪年假 专业培训,https://jobs.51job.com/shanghai-bsq/122492948.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co235452.html,8-9年经验,本科,招1人
